ticket_id,admin_id,customer_id,service_id,ticket_title,urgency
1,856,638,5,in faucibus orci luctus et ultrices posuere cubilia curae,
2,997,764,10,nullam porttitor lacus at turpis donec posuere metus vitae ipsum,
3,200,328,9,ipsum,
4,845,979,4,posuere cubilia curae donec pharetra magna vestibulum aliquet,
5,783,839,1,vestibulum aliquet ultrices erat,
6,258,341,10,cras in purus eu magna vulputate luctus cum sociis,
7,377,579,4,quis libero nullam sit amet,
8,978,207,4,neque libero convallis eget eleifend luctus ultricies,
9,661,741,8,at feugiat non pretium quis lectus suspendisse potenti in,
10,970,711,1,ante vivamus,
11,300,653,2,sapien arcu,
12,468,40,5,augue aliquam erat volutpat in congue etiam justo,
13,1000,90,3,molestie sed justo pellentesque viverra pede ac diam,
14,409,90,6,massa id,
15,784,195,5,lacus at turpis donec posuere metus,
16,555,476,10,morbi,
17,630,651,2,lacus curabitur at ipsum ac tellus semper interdum,
18,500,508,7,cursus vestibulum,
19,876,297,10,erat eros viverra eget,
20,246,559,3,orci mauris lacinia sapien quis libero nullam sit amet,
21,101,748,10,congue eget semper rutrum,
22,10,804,6,potenti nullam porttitor lacus at turpis donec posuere,
23,868,765,3,sem,
24,769,100,6,ultrices enim lorem ipsum,
25,723,996,8,semper sapien a libero nam dui proin leo odio porttitor,
26,153,506,6,curae duis faucibus accumsan odio curabitur convallis,
27,509,129,7,lobortis sapien sapien non,
28,646,489,1,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget,
29,815,991,5,nulla eget eros,
30,247,748,2,augue a suscipit nulla elit,
31,182,852,8,placerat praesent blandit nam nulla,
32,380,418,7,ante ipsum primis,
33,139,498,1,sit,
34,999,990,8,non interdum,
35,105,578,2,vulputate justo in blandit,
36,395,459,5,morbi vestibulum velit id pretium iaculis diam erat,
37,848,626,4,in ante vestibulum ante ipsum primis in,
38,966,116,8,convallis,
39,880,245,7,sem praesent,
40,323,932,9,amet justo,
41,946,361,10,convallis,
42,575,940,5,duis ac nibh fusce lacus purus aliquet,
43,244,584,1,justo pellentesque viverra pede ac diam cras,
44,401,51,8,libero nullam sit amet turpis elementum ligula vehicula consequat morbi,
45,600,333,2,sapien non mi integer ac neque duis,
46,673,901,5,egestas metus aenean fermentum donec ut mauris eget,
47,836,396,3,faucibus orci luctus et ultrices posuere cubilia curae mauris,
48,829,637,1,nec nisi vulputate nonummy maecenas tincidunt lacus,
49,62,982,5,vulputate luctus cum sociis,
50,15,653,1,adipiscing elit proin interdum mauris non ligula pellentesque ultrices,
51,683,686,1,non lectus aliquam sit amet diam in magna bibendum,
52,192,703,3,lorem ipsum dolor sit amet consectetuer adipiscing,
53,675,24,8,eget congue eget,
54,633,261,2,adipiscing lorem vitae mattis,
55,616,347,6,risus,
56,839,702,1,lobortis sapien sapien non mi integer ac neque duis,
57,179,563,4,eros elementum pellentesque,
58,972,713,7,semper sapien a libero nam dui,
59,153,638,4,morbi odio,
60,504,688,4,aliquet at,
61,431,834,8,sodales scelerisque mauris sit amet eros suspendisse accumsan,
62,408,201,8,suspendisse accumsan tortor,
63,569,60,10,id consequat in consequat ut nulla,
64,289,599,1,nunc viverra,
65,637,317,3,condimentum neque sapien placerat ante nulla justo aliquam,
66,548,562,6,ornare consequat lectus in,
67,620,939,9,ut erat id mauris vulputate elementum nullam varius,
68,291,63,5,in magna bibendum imperdiet nullam orci pede venenatis non,
69,615,676,1,sit amet justo morbi ut odio cras mi pede,
70,22,625,2,consequat metus sapien ut,
71,918,680,5,ipsum ac tellus semper interdum mauris ullamcorper purus,
72,633,54,10,ullamcorper augue a suscipit nulla elit ac nulla,
73,521,412,5,pellentesque quisque porta volutpat erat quisque,
74,510,196,5,id massa id nisl venenatis lacinia,
75,349,416,6,vestibulum,
76,402,832,4,at diam nam tristique tortor eu pede,
77,789,801,10,facilisi cras non velit nec nisi,
78,551,503,3,at velit vivamus,
