ticket_id,ticket_status
1,Not Processed
2,Processing
3,Proccessed
4,Not Processed
5,Not Processed
6,Not Processed
7,Processing
8,Processing
9,Proccessed
10,Proccessed
11,Proccessed
12,Not Processed
13,Proccessed
14,Not Processed
15,Processing
16,Processing
17,Not Processed
18,Processing
19,Not Processed
20,Not Processed
21,Not Processed
22,Processing
23,Processing
24,Not Processed
25,Proccessed
26,Processing
27,Proccessed
28,Processing
29,Processing
30,Not Processed
31,Processing
32,Processing
33,Proccessed
34,Processing
35,Processing
36,Not Processed
37,Proccessed
38,Not Processed
39,Not Processed
40,Processing
41,Not Processed
42,Not Processed
43,Proccessed
44,Processing
45,Processing
46,Processing
47,Not Processed
48,Processing
49,Proccessed
50,Proccessed
51,Processing
52,Proccessed
53,Not Processed
54,Proccessed
55,Processing
56,Processing
57,Not Processed
58,Processing
59,Not Processed
60,Proccessed
61,Processing
62,Proccessed
63,Not Processed
64,Proccessed
65,Not Processed
66,Not Processed
67,Proccessed
68,Processing
69,Proccessed
70,Processing
71,Processing
72,Proccessed
73,Proccessed
74,Processing
75,Proccessed
76,Not Processed
77,Proccessed
78,Processing
79,Proccessed
80,Not Processed
81,Proccessed
82,Not Processed
83,Proccessed
84,Not Processed
85,Not Processed
86,Proccessed
87,Proccessed
88,Not Processed
89,Not Processed
90,Not Processed
91,Proccessed
92,Processing
93,Processing
94,Proccessed
95,Proccessed
96,Not Processed
97,Not Processed
98,Processing
99,Processing
100,Proccessed
101,Not Processed
102,Not Processed
103,Processing
104,Processing
105,Processing
106,Processing
107,Not Processed
108,Not Processed
109,Proccessed
110,Processing
111,Proccessed
112,Processing
113,Proccessed
114,Proccessed
115,Not Processed
116,Not Processed
117,Proccessed
118,Proccessed
119,Not Processed
120,Not Processed
121,Processing
122,Proccessed
123,Not Processed
124,Proccessed
125,Not Processed
126,Processing
127,Processing
128,Processing
129,Proccessed
130,Proccessed
131,Proccessed
132,Not Processed
133,Processing
134,Proccessed
135,Processing
136,Not Processed
137,Not Processed
138,Proccessed
139,Processing
140,Processing
141,Proccessed
142,Processing
143,Proccessed
144,Not Processed
145,Proccessed
146,Proccessed
147,Not Processed
148,Not Processed
149,Processing
150,Proccessed
151,Proccessed
152,Proccessed
153,Proccessed
154,Processing
155,Processing
156,Processing
157,Proccessed
158,Proccessed
159,Processing
160,Proccessed
161,Processing
162,Processing
163,Not Processed
164,Not Processed
165,Not Processed
166,Processing
167,Processing
168,Proccessed
169,Not Processed
170,Processing
171,Processing
172,Not Processed
173,Processing
174,Not Processed
175,Proccessed
176,Proccessed
177,Not Processed
178,Proccessed
179,Processing
180,Processing
181,Proccessed
182,Proccessed
183,Not Processed
184,Proccessed
185,Processing
186,Proccessed
187,Processing
188,Not Processed
189,Not Processed
190,Proccessed
191,Not Processed
192,Proccessed
193,Processing
194,Not Processed
195,Processing
196,Processing
197,Proccessed
198,Processing
199,Processing
200,Proccessed
201,Proccessed
202,Not Processed
203,Processing
204,Proccessed
205,Proccessed
206,Not Processed
207,Processing
208,Processing
209,Not Processed
210,Not Processed
211,Processing
212,Processing
213,Not Processed
214,Proccessed
215,Not Processed
216,Not Processed
217,Processing
218,Processing
219,Proccessed
220,Processing
221,Processing
222,Not Processed
223,Not Processed
224,Not Processed
225,Processing
226,Not Processed
227,Processing
228,Processing
229,Processing
230,Proccessed
231,Proccessed
232,Processing
233,Proccessed
234,Processing
235,Not Processed
236,Proccessed
237,Proccessed
238,Processing
239,Not Processed
240,Not Processed
241,Processing
242,Processing
243,Proccessed
244,Not Processed
245,Proccessed
246,Not Processed
247,Processing
248,Proccessed
249,Proccessed
250,Not Processed
251,Proccessed
252,Processing
253,Not Processed
254,Processing
255,Proccessed
256,Proccessed
257,Not Processed
258,Not Processed
259,Proccessed
260,Not Processed
261,Proccessed
262,Proccessed
263,Processing
264,Not Processed
265,Proccessed
266,Not Processed
267,Proccessed
268,Processing
269,Not Processed
270,Not Processed
271,Not Processed
272,Not Processed
273,Processing
274,Processing
275,Not Processed
276,Not Processed
277,Not Processed
278,Proccessed
279,Proccessed
280,Not Processed
281,Proccessed
282,Not Processed
283,Not Processed
284,Not Processed
285,Proccessed
286,Processing
287,Not Processed
288,Processing
289,Not Processed
290,Not Processed
291,Proccessed
292,Not Processed
293,Not Processed
294,Proccessed
295,Not Processed
296,Proccessed
297,Processing
298,Processing
299,Proccessed
300,Not Processed
301,Processing
302,Processing
303,Not Processed
304,Not Processed
305,Proccessed
306,Processing
307,Not Processed
308,Proccessed
309,Not Processed
310,Not Processed
311,Proccessed
312,Not Processed
313,Proccessed
314,Proccessed
315,Proccessed
316,Processing
317,Not Processed
318,Not Processed
319,Processing
320,Processing
321,Not Processed
322,Not Processed
323,Proccessed
324,Processing
325,Processing
326,Processing
327,Proccessed
328,Proccessed
329,Not Processed
